2019,Employment Status By Education,NIL,Bachelor's or Higher,"Allegany County, Maryland",1379,
2020,Employment Status By Education,NIL,Bachelor's or Higher,"Allegany County, Maryland",1386,
2015,Employment Status By Education,Employed,Highschool,"Allegany County, Maryland",8141,
2016,Employment Status By Education,Employed,Highschool,"Allegany County, Maryland",8026,
2017,Employment Status By Education,Employed,Highschool,"Allegany County, Maryland",7563,
2018,Employment Status By Education,Employed,Highschool,"Allegany County, Maryland",7503,
2019,Employment Status By Education,Employed,Highschool,"Allegany County, Maryland",7429,
2020,Employment Status By Education,Employed,Highschool,"Allegany County, Maryland",6965,
2015,Employment Status By Education,Unemployed,Highschool,"Allegany County, Maryland",940,
2016,Employment Status By Education,Unemployed,Highschool,"Allegany County, Maryland",891,
2018,Employment Status By Education,Unemployed,Highschool,"Allegany County, Maryland",814,
2017,Employment Status By Education,Unemployed,Highschool,"Allegany County, Maryland",915,
2019,Employment Status By Education,Unemployed,Highschool,"Allegany County, Maryland",658,
2020,Employment Status By Education,Unemployed,Highschool,"Allegany County, Maryland",598,
2015,Employment Status By Education,NIL,Highschool,"Allegany County, Maryland",5588,
2016,Employment Status By Education,NIL,Highschool,"Allegany County, Maryland",5653,
2018,Employment Status By Education,NIL,Highschool,"Allegany County, Maryland",5741,
2017,Employment Status By Education,NIL,Highschool,"Allegany County, Maryland",5625,
2019,Employment Status By Education,NIL,Highschool,"Allegany County, Maryland",5849,
2020,Employment Status By Education,NIL,Highschool,"Allegany County, Maryland",5996,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Allegany County, Maryland",2658,
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Allegany County, Maryland",2180,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Allegany County, Maryland",2456,
2018,Employment Status By Poverty Status,Employed,Below Poverty,"Allegany County, Maryland",2124,
2019,Employment Status By Poverty Status,Employed,Below Poverty,"Allegany County, Maryland",1993,
2020,Employment Status By Poverty Status,Employed,Below Poverty,"Allegany County, Maryland",2124,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Allegany County, Maryland",1169,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Allegany County, Maryland",1141,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Allegany County, Maryland",1074,
2018,Employment Status By Poverty Status,Unemployed,Below Poverty,"Allegany County, Maryland",989,
2019,Employment Status By Poverty Status,Unemployed,Below Poverty,"Allegany County, Maryland",856,
2020,Employment Status By Poverty Status,Unemployed,Below Poverty,"Allegany County, Maryland",818,
2016,Employment Status By Disability Status,Employed,Disabled,"Allegany County, Maryland",2034,,,,
2015,Employment Status By Disability Status,Employed,Disabled,"Allegany County, Maryland",2017,,,,
2018,Employment Status By Disability Status,Employed,Disabled,"Allegany County, Maryland",2048,,,,
2017,Employment Status By Disability Status,Employed,Disabled,"Allegany County, Maryland",2030,,,,
2020,Employment Status By Disability Status,Employed,Disabled,"Allegany County, Maryland",1927,,,,
2019,Employment Status By Disability Status,Employed,Disabled,"Allegany County, Maryland",2172,,,,
2017,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",984,
2018,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",850,
2015,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",1092,
2016,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",1004,
2020,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",724,
2019,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",786,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",150,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",125,
2016,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",133,
2018,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",108,
2019,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",76,
2020,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",77,
2015,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2348,
2016,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2165,
2017,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2195,
2018,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2178,
2019,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2102,
2020,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2416,
2016,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",9.3,0.09300000000000001
2017,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",9,0.09
2015,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",10.1,0.10099999999999999
2018,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",8.3,0.083
2019,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",7.3,0.073
2020,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",7.2,0.07200000000000001
2015,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",11.4,0.114
2018,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",11.4,0.114
2017,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",10.7,0.107
2016,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",12,0.12
2019,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",9.3,0.09300000000000001
2020,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",7.2,0.07200000000000001
2017,Employment Status By Education,Employed,Some College,"Allegany County, Maryland",8108,
2016,Employment Status By Education,Employed,Some College,"Allegany County, Maryland",7912,
2015,Employment Status By Education,Employed,Some College,"Allegany County, Maryland",7970,
2018,Employment Status By Education,Employed,Some College,"Allegany County, Maryland",8423,
2019,Employment Status By Education,Employed,Some College,"Allegany County, Maryland",8051,
2020,Employment Status By Education,Employed,Some College,"Allegany County, Maryland",7896,
2015,Employment Status By Education,Unemployed,Some College,"Allegany County, Maryland",888,
2016,Employment Status By Education,Unemployed,Some College,"Allegany County, Maryland",715,
2017,Employment Status By Education,Unemployed,Some College,"Allegany County, Maryland",652,
2018,Employment Status By Education,Unemployed,Some College,"Allegany County, Maryland",563,
2019,Employment Status By Education,Unemployed,Some College,"Allegany County, Maryland",451,
2020,Employment Status By Education,Unemployed,Some College,"Allegany County, Maryland",517,
2015,Employment Status By Education,NIL,Some College,"Allegany County, Maryland",3049,
2017,Employment Status By Education,NIL,Some College,"Allegany County, Maryland",3159,
2016,Employment Status By Education,NIL,Some College,"Allegany County, Maryland",3162,
2018,Employment Status By Education,NIL,Some College,"Allegany County, Maryland",2907,
2019,Employment Status By Education,NIL,Some College,"Allegany County, Maryland",3153,
2020,Employment Status By Education,NIL,Some College,"Allegany County, Maryland",3048,
2015,Unemployment By Race,,Asian,"Allegany County, Maryland",5.7,0.057
2017,Unemployment By Race,,Asian,"Allegany County, Maryland",12.4,0.124
2016,Unemployment By Race,,Asian,"Allegany County, Maryland",14,0.14
2018,Unemployment By Race,,Asian,"Allegany County, Maryland",13.8,0.138
2019,Unemployment By Race,,Asian,"Allegany County, Maryland",14.9,0.149
2020,Unemployment By Race,,Asian,"Allegany County, Maryland",18,0.18
2016,Unemployment By Race,,White,"Allegany County, Maryland",8.7,0.087
2015,Unemployment By Race,,White,"Allegany County, Maryland",9.1,0.091
2017,Unemployment By Race,,White,"Allegany County, Maryland",8.4,0.084
2018,Unemployment By Race,,White,"Allegany County, Maryland",8,0.08
2019,Unemployment By Race,,White,"Allegany County, Maryland",6.8,0.068
2020,Unemployment By Race,,White,"Allegany County, Maryland",7,0.07
2017,Unemployment By Race,,Black,"Allegany County, Maryland",26,0.26
2016,Unemployment By Race,,Black,"Allegany County, Maryland",25.8,0.258
2015,Unemployment By Race,,Black,"Allegany County, Maryland",29.1,0.29100000000000004
2018,Unemployment By Race,,Black,"Allegany County, Maryland",23.4,0.23399999999999999
2019,Unemployment By Race,,Black,"Allegany County, Maryland",25.3,0.253
2020,Unemployment By Race,,Black,"Allegany County, Maryland",22.8,0.228
2017,SNAP Recipient Workers,,,"Anne Arundel County, Maryland",16136,,,,,
2018,SNAP Recipient Workers,,,"Anne Arundel County, Maryland",14841,,,,,
2019,SNAP Recipient Workers,,,"Anne Arundel County, Maryland",14881,,,,,
2020,SNAP Recipient Workers,,,"Anne Arundel County, Maryland",14103,,,,,
2017,SNAP Recipient Workers by Percentage,,,"Anne Arundel County, Maryland",0.06333,6.3327,,,,
2018,SNAP Recipient Workers by Percentage,,,"Anne Arundel County, Maryland",0.06223,6.2231,,,,
2019,SNAP Recipient Workers by Percentage,,,"Anne Arundel County, Maryland",0.06188,6.1878,,,,
2020,SNAP Recipient Workers by Percentage,,,"Anne Arundel County, Maryland",0.06126,6.126,,,,
2015,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",13704,,,,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",14043,,,,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",15180,,,,
2018,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",15381,,,,
2019,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",15955,,,,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",267609,,,,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",267940,,,,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",269133,,,,
2018,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",268500,,,,
2019,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",266958,,,,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",10773,,,,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",11387,,,,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",10924,,,,
2018,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",11006,,,,
2019,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",9853,,,,
2016,Median Household Income,,,"Anne Arundel County, Maryland",91918,,,,,,
2017,Median Household Income,,,"Anne Arundel County, Maryland",94502,,,,,,
2020,Median Household Income,,,"Anne Arundel County, Maryland",103225,,,,,,
2019,Median Household Income,,,"Anne Arundel County, Maryland",100798,,,,,,
2015,Median Household Income,,,"Anne Arundel County, Maryland",89860,,,,,,
2018,Median Household Income,,,"Anne Arundel County, Maryland",97810,,,,,,
2015,Total Population,,,"Anne Arundel County, Maryland",555280,,,,,
2020,Total Population,,,"Anne Arundel County, Maryland",575421,,,,,
2016,Total Population,,,"Anne Arundel County, Maryland",559737,,,,,
2018,Total Population,,,"Anne Arundel County, Maryland",567696,,,,,
2017,Total Population,,,"Anne Arundel County, Maryland",564600,,,,,
2019,Total Population,,,"Anne Arundel County, Maryland",571275,,,,,
2016,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",5.3,0.053
2017,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",4.9,0.049
2015,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",5.7,0.057
2015,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1933,,,,
2019,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",3.6,0.036000000000000004
2018,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",4.3,0.043
2020,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",3.4,0.034
2017,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1986,,,,
2018,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1826,,,,
2016,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",4.9,0.049
2020,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1708,,,,
2019,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1874,,,,
2020,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",4.1,0.040999999999999995
2018,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",5.6,0.055999999999999994
2017,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",4.8,0.048
2016,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",5,0.05
2017,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",4.6,0.046
2019,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",5.2,0.052000000000000005
2018,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",4.5,0.045
2020,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",4.2,0.042
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",13349,,,,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",12263,,,,
2020,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",9722,,,,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",254591,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",256870,
2019,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",257471,
2018,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",257557,
2020,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",258548,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1904,,,,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",104588,
2020,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",120271,
2019,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",116210,
2018,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",113692,
2018,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2670,
2020,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",3268,
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Anne Arundel County, Maryland",13176,
2015,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",5.1,0.051
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Anne Arundel County, Maryland",12929,
2015,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",5.2,0.052000000000000005
2019,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",4.1,0.040999999999999995
2018,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",10943,,,,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",14434,,,,
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Anne Arundel County, Maryland",13017,
2019,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",9487,,,,
2018,Employment Status By Education,NIL,Bachelor's or Higher,"Anne Arundel County, Maryland",13471,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",253175,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",108401,
2017,Employment Status By Education,Employed,Highschool,"Anne Arundel County, Maryland",49547,
2019,Employment Status By Education,Employed,Highschool,"Anne Arundel County, Maryland",48230,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",111317,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2670,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2617,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2604,
2019,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2721,
2019,Employment Status By Education,Unemployed,Highschool,"Anne Arundel County, Maryland",2336,
2016,Employment Status By Education,NIL,Highschool,"Anne Arundel County, Maryland",16350,
2017,Employment Status By Education,NIL,Highschool,"Anne Arundel County, Maryland",16912,
2015,Employment Status By Education,NIL,Highschool,"Anne Arundel County, Maryland",16097,
2018,Employment Status By Education,NIL,Highschool,"Anne Arundel County, Maryland",16750,
2019,Employment Status By Education,NIL,Highschool,"Anne Arundel County, Maryland",16833,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Anne Arundel County, Maryland",7408,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Anne Arundel County, Maryland",7770,
2019,Employment Status By Poverty Status,Employed,Below Poverty,"Anne Arundel County, Maryland",7353,
2019,Employment Status By Education,NIL,Bachelor's or Higher,"Anne Arundel County, Maryland",13742,
2018,Employment Status By Poverty Status,Employed,Below Poverty,"Anne Arundel County, Maryland",8089,
2020,Employment Status By Poverty Status,Employed,Below Poverty,"Anne Arundel County, Maryland",7194,
2020,Employment Status By Education,NIL,Bachelor's or Higher,"Anne Arundel County, Maryland",13823,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Anne Arundel County, Maryland",3365,
2015,Employment Status By Education,Employed,Highschool,"Anne Arundel County, Maryland",51834,
2016,Employment Status By Education,Employed,Highschool,"Anne Arundel County, Maryland",50548,
2018,Employment Status By Education,Employed,Highschool,"Anne Arundel County, Maryland",48408,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Anne Arundel County, Maryland",3617,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Anne Arundel County, Maryland",3241,
2018,Employment Status By Poverty Status,Unemployed,Below Poverty,"Anne Arundel County, Maryland",2917,
2020,Employment Status By Poverty Status,Unemployed,Below Poverty,"Anne Arundel County, Maryland",2527,
2020,Employment Status By Education,Employed,Highschool,"Anne Arundel County, Maryland",45545,
2017,Employment Status By Disability Status,Employed,Disabled,"Anne Arundel County, Maryland",13194,,,,
2019,Employment Status By Disability Status,Employed,Disabled,"Anne Arundel County, Maryland",14081,,,,
2015,Employment Status By Education,Employed,Less than Highschool,"Anne Arundel County, Maryland",11352,
2016,Employment Status By Education,Employed,Less than Highschool,"Anne Arundel County, Maryland",11246,
2020,Employment Status By Disability Status,Employed,Disabled,"Anne Arundel County, Maryland",13572,,,,
2017,Employment Status By Education,Employed,Less than Highschool,"Anne Arundel County, Maryland",11642,
2018,Employment Status By Education,Employed,Less than Highschool,"Anne Arundel County, Maryland",12225,
2019,Employment Status By Education,Employed,Less than Highschool,"Anne Arundel County, Maryland",11799,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Anne Arundel County, Maryland",1735,
2019,Employment Status By Education,Unemployed,Less than Highschool,"Anne Arundel County, Maryland",809,
2018,Employment Status By Education,Unemployed,Less than Highschool,"Anne Arundel County, Maryland",1104,
2016,Employment Status By Education,Unemployed,Highschool,"Anne Arundel County, Maryland",3597,
2015,Employment Status By Education,Unemployed,Highschool,"Anne Arundel County, Maryland",3877,
2017,Employment Status By Education,Unemployed,Highschool,"Anne Arundel County, Maryland",3437,
2020,Employment Status By Education,Unemployed,Highschool,"Anne Arundel County, Maryland",2085,
2020,Employment Status By Education,NIL,Highschool,"Anne Arundel County, Maryland",16719,
2018,Employment Status By Education,Unemployed,Highschool,"Anne Arundel County, Maryland",2971,
2016,Employment Status By Education,NIL,Less than Highschool,"Anne Arundel County, Maryland",7695,
2017,Employment Status By Education,NIL,Less than Highschool,"Anne Arundel County, Maryland",7786,
2018,Employment Status By Education,NIL,Less than Highschool,"Anne Arundel County, Maryland",7683,
2015,Unemployment By Veteran Status,,Non Veteran,"Anne Arundel County, Maryland",6.1,0.061
2019,Unemployment By Veteran Status,,Non Veteran,"Anne Arundel County, Maryland",4.2,0.042
2017,Unemployment By Veteran Status,,Non Veteran,"Anne Arundel County, Maryland",5.3,0.053
2016,Unemployment By Veteran Status,,Non Veteran,"Anne Arundel County, Maryland",5.6,0.055999999999999994
2020,Unemployment By Veteran Status,,Non Veteran,"Anne Arundel County, Maryland",4.2,0.042
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Anne Arundel County, Maryland",7683,
2019,Employment Status By Poverty Status,Unemployed,Below Poverty,"Anne Arundel County, Maryland",2500,
2015,Unemployment By Veteran Status,,Veteran,"Anne Arundel County, Maryland",3.7,0.037000000000000005
2016,Employment Status By Disability Status,Employed,Disabled,"Anne Arundel County, Maryland",12139,,,,
